person_id,frame_number,pixel_x,pixel_y,world_x,world_y
1,0,164.899,1678.535,-3.7409,27.0697
2,0,454.751,776.894,-3.6545,8.1512
3,0,306.521,757.689,-6.5957,6.3064
4,0,733.535,764.474,0.9891,8.1999
5,0,35.224,1021.383,-7.7754,18.04
6,0,606.283,694.516,-1.0287,2.3945
7,0,342.078,765.001,-5.8139,6.9722
8,0,524.597,666.221,-2.8196,-0.999
9,0,714.987,714.317,0.9576,4.6093
10,0,162.184,815.255,-8.4933,9.7072
11,0,138.978,814.378,-8.9376,9.5927
12,0,165.873,725.469,-10.2541,2.9518
13,0,368.226,659.349,-6.7015,-3.0124
1,1,163.346,1672.299,-3.7614,27.0282
2,1,455.351,777.548,-3.6405,8.1953
3,1,306.095,760.098,-6.5722,6.4845
4,1,732.837,764.741,0.9767,8.2145
5,1,35.095,1021.608,-7.7747,18.0463
6,1,606.097,695.278,-1.0331,2.4638
7,1,342.165,765.788,-5.8036,7.0286
8,1,523.362,666.39,-2.8471,-0.9885
9,1,715.041,713.99,0.9605,4.5835
10,1,161.722,815.724,-8.4941,9.7341
11,1,139.258,815.058,-8.9205,9.6346
12,1,165.853,726.034,-10.2401,3.0052
13,1,367.898,659.415,-6.7089,-3.0066
1,2,161.409,1669.295,-3.7783,27.0086
2,2,456.261,778.983,-3.617,8.2902
3,2,305.465,761.781,-6.5626,6.6064
4,2,732.531,764.915,0.971,8.2244
5,2,35.024,1021.995,-7.7717,18.0572
6,2,606.226,695.655,-1.0308,2.4991
7,2,342.161,765.893,-5.8026,7.036
8,2,522.357,666.948,-2.8675,-0.9323
9,2,715.08,714.123,0.9604,4.5942
10,2,161.907,815.947,-8.4871,9.7479
11,2,139.382,815.521,-8.9102,9.6628
12,2,165.793,726.382,-10.2326,3.0377
13,2,367.887,659.656,-6.7049,-2.9758
1,3,159.71,1659.916,-3.8059,26.9448
2,3,457.148,779.945,-3.5965,8.3543
3,3,304.524,762.2,-6.5756,6.6337
4,3,732.335,765.134,0.9667,8.2374
5,3,34.85,1022.535,-7.7684,18.0724
6,3,605.936,696.088,-1.037,2.5374
7,3,341.964,766.072,-5.8043,7.0481
8,3,521.41,667.583,-2.8861,-0.8672
9,3,714.871,713.976,0.9576,4.5816
10,3,162.033,816.075,-8.4827,9.7558
11,3,139.572,816.31,-8.8929,9.7109
12,3,165.787,727.629,-10.2011,3.155
13,3,366.781,659.932,-6.7287,-2.9493
1,4,157.774,1653.044,-3.8306,26.8978
2,4,458.191,781.054,-3.5727,8.4278
3,4,303.388,761.947,-6.6013,6.6109
4,4,731.634,765.327,0.9546,8.2473
5,4,34.686,1023.167,-7.764,18.0901
6,4,605.912,696.396,-1.0378,2.5655
7,4,341.73,766.306,-5.8063,7.0639
8,4,519.29,668.427,-2.9305,-0.787
9,4,714.681,714.711,0.9498,4.6392
10,4,162.266,816.796,-8.4667,9.7994
11,4,139.204,819.919,-8.8377,9.925
12,4,166.055,728.037,-10.1845,3.1946
13,4,366.094,660.419,-6.7378,-2.8925
1,5,155.765,1645.774,-3.8567,26.8474
2,5,458.987,781.593,-3.5562,8.4643
3,5,302.571,761.652,-6.6212,6.5862
4,5,730.83,765.462,0.9412,8.2533
5,5,34.481,1023.526,-7.763,18.1001
6,5,606.046,696.784,-1.0355,2.6016
7,5,341.748,766.945,-5.7989,7.1092
8,5,516.977,669.046,-2.9801,-0.7334
9,5,714.515,715.538,0.942,4.704
10,5,161.544,817.032,-8.4761,9.8116
11,5,138.22,823.233,-8.7996,10.117
12,5,165.801,728.808,-10.171,3.2651
13,5,366.965,661.157,-6.7023,-2.7912
20,5,867.602,646.844,4.5608,-0.8132
1,6,154.568,1641.229,-3.8728,26.8156
2,6,459.977,781.95,-3.5373,8.4897
3,6,301.877,762.453,-6.6243,6.6425
4,6,730.132,765.749,0.9288,8.269
5,6,34.326,1023.867,-7.7615,18.1096
6,6,606.152,697.253,-1.0338,2.645
7,6,341.937,767.868,-5.7853,7.1749
